FuncaoHash,TamanhoConjunto,TamanhoTabela,TempoInsercao(ms),ColisoesInsercao,TempoBusca(ms),ComparacoesBusca
modulo,1000000,10000000,346ms,48512,0ms,6
modulo,1000000,10000000,438ms,48570,0ms,5
modulo,1000000,10000000,617ms,48571,0ms,6
modulo,1000000,10000000,359ms,48491,0ms,5
modulo,1000000,10000000,586ms,48471,0ms,5
modulo,1000000,10000000,340ms,48582,0ms,5
modulo,1000000,10000000,316ms,48323,0ms,5
modulo,1000000,10000000,350ms,48211,0ms,5
modulo,1000000,10000000,331ms,48273,0ms,5
modulo,1000000,10000000,342ms,48490,0ms,5
modulo,1000000,50000000,432ms,10005,0ms,5
modulo,1000000,50000000,341ms,9964,0ms,5
modulo,1000000,50000000,309ms,10078,0ms,5
modulo,1000000,50000000,361ms,10082,0ms,5
modulo,1000000,50000000,330ms,9891,0ms,5
modulo,1000000,50000000,288ms,10040,0ms,5
modulo,1000000,50000000,324ms,10011,0ms,5
modulo,1000000,50000000,328ms,9801,0ms,5
modulo,1000000,50000000,234ms,9967,0ms,5
modulo,1000000,50000000,303ms,9914,0ms,5
modulo,1000000,100000000,571ms,5011,0ms,5
modulo,1000000,100000000,330ms,5015,0ms,5
modulo,1000000,100000000,691ms,5021,0ms,5
modulo,1000000,100000000,377ms,5043,0ms,5
modulo,1000000,100000000,417ms,4926,0ms,5
modulo,1000000,100000000,366ms,5036,0ms,5
modulo,1000000,100000000,399ms,4961,0ms,5
modulo,1000000,100000000,408ms,4895,0ms,5
modulo,1000000,100000000,382ms,5057,0ms,5
modulo,1000000,100000000,369ms,4980,0ms,5
modulo,5000000,10000000,1824ms,1065468,0ms,7
modulo,5000000,10000000,1836ms,1065689,0ms,6
modulo,5000000,10000000,1875ms,1065191,0ms,6
modulo,5000000,10000000,1711ms,1064923,0ms,8
modulo,5000000,10000000,1677ms,1065141,0ms,5
modulo,5000000,10000000,1835ms,1065907,0ms,5
modulo,5000000,10000000,1762ms,1066641,0ms,7
modulo,5000000,10000000,1653ms,1066280,0ms,7
modulo,5000000,10000000,1741ms,1065856,0ms,8
modulo,5000000,10000000,1609ms,1066974,0ms,7
modulo,5000000,50000000,1764ms,241835,0ms,5
modulo,5000000,50000000,2008ms,241392,0ms,5
modulo,5000000,50000000,1786ms,242245,0ms,6
modulo,5000000,50000000,1845ms,240909,0ms,6
modulo,5000000,50000000,1932ms,242070,0ms,5
modulo,5000000,50000000,1739ms,242260,0ms,5
modulo,5000000,50000000,2005ms,242220,0ms,5
modulo,5000000,50000000,2058ms,242306,0ms,5
modulo,5000000,50000000,1999ms,242316,0ms,6
modulo,5000000,50000000,1893ms,242267,0ms,5
