FuncaoHash,TamanhoConjunto,TamanhoTabela,TempoInsercao(ms),ColisoesInsercao,TempoBusca(ms),ComparacoesBusca
modulo,1000000,10000,3442ms,990000,0ms,308
modulo,1000000,10000,3800ms,990000,0ms,333
modulo,1000000,10000,3897ms,990000,0ms,269
modulo,1000000,10000,3825ms,990000,0ms,302
modulo,1000000,10000,3755ms,990000,0ms,217
modulo,1000000,10000,3436ms,990000,0ms,223
modulo,1000000,10000,3163ms,990000,0ms,200
modulo,1000000,10000,3442ms,990000,0ms,224
modulo,1000000,10000,3205ms,990000,0ms,302
modulo,1000000,10000,3410ms,990000,0ms,222
modulo,1000000,100000,446ms,900003,0ms,27
modulo,1000000,100000,455ms,900003,0ms,33
modulo,1000000,100000,440ms,900008,0ms,26
modulo,1000000,100000,461ms,900008,0ms,37
modulo,1000000,100000,511ms,900004,0ms,26
modulo,1000000,100000,431ms,900003,0ms,24
modulo,1000000,100000,441ms,900003,0ms,34
modulo,1000000,100000,471ms,900006,0ms,31
modulo,1000000,100000,439ms,900010,0ms,36
modulo,1000000,100000,473ms,900003,0ms,25
modulo,1000000,1000000,199ms,367333,0ms,9
modulo,1000000,1000000,195ms,368045,0ms,6
modulo,1000000,1000000,199ms,368134,0ms,7
modulo,1000000,1000000,207ms,367719,0ms,11
modulo,1000000,1000000,197ms,367599,0ms,6
modulo,1000000,1000000,203ms,367871,0ms,7
modulo,1000000,1000000,204ms,367611,0ms,6
modulo,1000000,1000000,229ms,368154,0ms,9
modulo,1000000,1000000,201ms,367660,0ms,7
modulo,1000000,1000000,214ms,367826,0ms,7
modulo,5000000,10000,37278ms,4990000,0ms,1535
modulo,5000000,10000,35037ms,4990000,0ms,1699
modulo,5000000,10000,35228ms,4990000,1ms,1267
modulo,5000000,10000,36244ms,4990000,0ms,1356
modulo,5000000,10000,37292ms,4990000,0ms,764
modulo,5000000,10000,37066ms,4990000,0ms,796
modulo,5000000,10000,36372ms,4990000,1ms,1517
modulo,5000000,10000,36509ms,4990000,0ms,1125
modulo,5000000,10000,38248ms,4990000,0ms,1398
modulo,5000000,10000,38030ms,4990000,0ms,1263
modulo,5000000,100000,5964ms,4900000,0ms,146
modulo,5000000,100000,5753ms,4900000,0ms,154
modulo,5000000,100000,5724ms,4900000,0ms,130
modulo,5000000,100000,5647ms,4900000,1ms,138
modulo,5000000,100000,5701ms,4900000,0ms,78
modulo,5000000,100000,5791ms,4900000,0ms,75
modulo,5000000,100000,5764ms,4900000,0ms,178
modulo,5000000,100000,5849ms,4900000,0ms,110
modulo,5000000,100000,6412ms,4900000,0ms,161
modulo,5000000,100000,5949ms,4900000,0ms,139
modulo,5000000,1000000,1698ms,4006689,0ms,22
modulo,5000000,1000000,1707ms,4006801,0ms,22
modulo,5000000,1000000,1733ms,4006642,0ms,25
modulo,5000000,1000000,1685ms,4006808,0ms,18
modulo,5000000,1000000,1697ms,4006783,0ms,10
modulo,5000000,1000000,1707ms,4006694,0ms,16
modulo,5000000,1000000,1726ms,4006622,0ms,21
modulo,5000000,1000000,1707ms,4006650,0ms,15
modulo,5000000,1000000,1721ms,4006751,0ms,26
modulo,5000000,1000000,1708ms,4006853,0ms,27
modulo,20000000,10000,498984ms,19990000,2ms,6473
modulo,20000000,10000,483190ms,19990000,1ms,4500
modulo,20000000,10000,524310ms,19990000,2ms,4463
modulo,20000000,10000,497470ms,19990000,1ms,5063
modulo,20000000,10000,509212ms,19990000,3ms,5255
modulo,20000000,10000,516909ms,19990000,3ms,7302
modulo,20000000,10000,524278ms,19990000,3ms,6815
modulo,20000000,10000,532036ms,19990000,2ms,5874
modulo,20000000,10000,507143ms,19990000,1ms,3013
modulo,20000000,10000,510838ms,19990000,2ms,4546
modulo,20000000,100000,60156ms,19900000,0ms,643
modulo,20000000,100000,60433ms,19900000,0ms,447
modulo,20000000,100000,60692ms,19900000,0ms,457
modulo,20000000,100000,57696ms,19900000,0ms,494
modulo,20000000,100000,57249ms,19900000,0ms,545
modulo,20000000,100000,57404ms,19900000,0ms,765
modulo,20000000,100000,57445ms,19900000,0ms,697
modulo,20000000,100000,60415ms,19900000,0ms,549
modulo,20000000,100000,64876ms,19900000,0ms,336
modulo,20000000,100000,65020ms,19900000,0ms,416
modulo,20000000,1000000,14701ms,19000000,0ms,61
modulo,20000000,1000000,15003ms,19000000,0ms,41
modulo,20000000,1000000,15421ms,19000000,0ms,54
modulo,20000000,1000000,32401ms,19000000,0ms,71
modulo,20000000,1000000,15348ms,19000000,0ms,70
modulo,20000000,1000000,15873ms,19000000,1ms,84
modulo,20000000,1000000,16123ms,19000000,0ms,70
modulo,20000000,1000000,15872ms,19000000,0ms,60
modulo,20000000,1000000,17731ms,19000000,0ms,37
modulo,20000000,1000000,15746ms,19000000,0ms,40
multiplicacao,1000000,10000,4433ms,990000,0ms,334
multiplicacao,1000000,10000,4097ms,990000,0ms,318
multiplicacao,1000000,10000,4252ms,990000,0ms,330
multiplicacao,1000000,10000,5755ms,990000,0ms,287
multiplicacao,1000000,10000,7806ms,990000,0ms,229
multiplicacao,1000000,10000,4640ms,990000,0ms,219
multiplicacao,1000000,10000,4613ms,990000,0ms,192
multiplicacao,1000000,10000,3947ms,990000,0ms,256
multiplicacao,1000000,10000,3610ms,990000,0ms,302
multiplicacao,1000000,10000,3708ms,990000,0ms,203
multiplicacao,1000000,100000,488ms,900002,0ms,39
multiplicacao,1000000,100000,513ms,900005,0ms,41
multiplicacao,1000000,100000,550ms,900006,0ms,44
multiplicacao,1000000,100000,490ms,900002,0ms,27
multiplicacao,1000000,100000,497ms,900005,0ms,20
multiplicacao,1000000,100000,468ms,900004,0ms,29
multiplicacao,1000000,100000,566ms,900000,0ms,22
multiplicacao,1000000,100000,515ms,900004,0ms,33
multiplicacao,1000000,100000,499ms,900005,0ms,24
multiplicacao,1000000,100000,535ms,900009,0ms,23
multiplicacao,1000000,1000000,251ms,368289,0ms,6
multiplicacao,1000000,1000000,461ms,368008,0ms,8
multiplicacao,1000000,1000000,215ms,368195,0ms,6
multiplicacao,1000000,1000000,209ms,368295,0ms,6
multiplicacao,1000000,1000000,203ms,367160,0ms,7
multiplicacao,1000000,1000000,224ms,368020,0ms,9
multiplicacao,1000000,1000000,235ms,367643,0ms,8
multiplicacao,1000000,1000000,209ms,367644,0ms,7
multiplicacao,1000000,1000000,548ms,368188,0ms,6
multiplicacao,1000000,1000000,232ms,367732,0ms,6
multiplicacao,5000000,10000,41152ms,4990000,0ms,1500
multiplicacao,5000000,10000,42463ms,4990000,0ms,1754
multiplicacao,5000000,10000,39472ms,4990000,1ms,1256
multiplicacao,5000000,10000,44365ms,4990000,0ms,1279
multiplicacao,5000000,10000,36837ms,4990000,0ms,719
multiplicacao,5000000,10000,42305ms,4990000,1ms,810
multiplicacao,5000000,10000,39070ms,4990000,1ms,1617
multiplicacao,5000000,10000,41100ms,4990000,0ms,1168
multiplicacao,5000000,10000,39228ms,4990000,0ms,1396
multiplicacao,5000000,10000,42343ms,4990000,0ms,1248
multiplicacao,5000000,100000,6004ms,4900000,0ms,164
multiplicacao,5000000,100000,6444ms,4900000,0ms,173
multiplicacao,5000000,100000,6162ms,4900000,0ms,136
multiplicacao,5000000,100000,5551ms,4900000,0ms,131
multiplicacao,5000000,100000,6671ms,4900000,0ms,71
